ERR164479	normal
ERR164480	normal
ERR164484	normal
ERR164473	normal
ERR164487	normal
ERR164489	normal
ERR164491	normal
ERR164492	normal
ERR164493	normal
ERR164495	normal
ERR164496	normal
ERR164497	normal
ERR164498	normal
ERR164499	normal
ERR164475	normal
ERR164477	normal
ERR164509	normal
ERR164510	normal
ERR164511	normal
ERR164513	normal
ERR164514	normal
ERR164516	normal
ERR164500	normal
ERR164518	normal
ERR164519	normal
ERR164520	normal
ERR164522	normal
ERR164525	normal
ERR164526	normal
ERR164528	normal
ERR164530	normal
ERR164534	normal
ERR164535	normal
ERR164536	normal
ERR164537	normal
ERR164539	normal
ERR164541	normal
ERR164544	normal
ERR164546	normal
ERR164547	normal
ERR164504	normal
ERR164505	normal
ERR164506	normal
ERR164507	normal
ERR164481	normal
ERR164482	normal
ERR164483	normal
ERR164485	normal
ERR164486	normal
ERR164474	normal
ERR164488	normal
ERR164490	normal
ERR164494	normal
ERR164476	normal
ERR164478	normal
ERR164508	normal
ERR164512	normal
ERR164515	normal
ERR164501	normal
ERR164517	normal
ERR164521	normal
ERR164523	normal
ERR164524	normal
ERR164502	normal
ERR164527	normal
ERR164529	normal
ERR164531	normal
ERR164532	normal
ERR164533	normal
ERR164503	normal
ERR164538	normal
ERR164540	normal
ERR164542	normal
ERR164543	normal
ERR164545	normal
ERR164548	normal
ERR164549	normal
ERR164550	tumor
ERR164559	tumor
ERR164560	tumor
ERR164561	tumor
ERR164563	tumor
ERR164565	tumor
ERR164566	tumor
ERR164567	tumor
ERR164568	tumor
ERR164551	tumor
ERR164569	tumor
ERR164570	tumor
ERR164571	tumor
ERR164573	tumor
ERR164574	tumor
ERR164577	tumor
ERR164578	tumor
ERR164552	tumor
ERR164579	tumor
ERR164580	tumor
ERR164582	tumor
ERR164583	tumor
ERR164584	tumor
ERR164585	tumor
ERR164554	tumor
ERR164556	tumor
ERR164558	tumor
ERR062334	tumor
ERR164590	tumor
ERR164591	tumor
ERR164593	tumor
ERR164594	tumor
ERR164595	tumor
ERR164597	tumor
ERR164599	tumor
ERR164600	tumor
ERR164601	tumor
ERR164602	tumor
ERR164603	tumor
ERR164604	tumor
ERR164605	tumor
ERR164606	tumor
ERR164607	tumor
ERR164608	tumor
ERR164609	tumor
ERR164610	tumor
ERR164611	tumor
ERR062335	tumor
ERR062336	tumor
ERR164612	tumor
ERR164613	tumor
ERR164614	tumor
ERR164615	tumor
ERR164616	tumor
ERR164617	tumor
ERR164618	tumor
ERR164619	tumor
ERR164620	tumor
ERR164621	tumor
ERR062337	tumor
ERR164622	tumor
ERR164623	tumor
ERR164624	tumor
ERR164625	tumor
ERR164626	tumor
ERR164627	tumor
ERR164628	tumor
ERR164629	tumor
ERR164630	tumor
ERR164631	tumor
ERR164632	tumor
ERR164633	tumor
ERR164634	tumor
ERR062338	tumor
ERR164587	tumor
ERR164588	tumor
ERR164589	tumor
